meAsur3;gender_coded;EducationType;degreeType;Period;VALUE
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2011/'12;55240
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2012/'13;51370
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2013/'14;53400
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2014/'15;57250
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2015/'16;58920
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2016/'17;62530
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2017/'18;64190
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2018/'19;62210
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2019/'20;61690
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2020/'21;64990
Gediplomeerden;T001038;Hoger beroepsonderwijs;Bachelor;2021/'22;60450
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2011/'12;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2012/'13;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2013/'14;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2014/'15;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2015/'16;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2016/'17;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2017/'18;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2018/'19;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2019/'20;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2020/'21;NA
Gediplomeerden;T001038;Hoger beroepsonderwijs;Wo-master;2021/'22;NA
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2011/'12;35070
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2012/'13;32620
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2013/'14;32440
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2014/'15;34430
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2015/'16;34070
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2016/'17;34800
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2017/'18;34840
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2018/'19;36180
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2019/'20;38030
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2020/'21;42810
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Bachelor;2021/'22;41440
Gediplomeerden;T001038;Wetenschappelijk onderwijs;Wo-master;2011/'12;34870
