This line is here to cause an error
Sorry...

year,degree,value
2011,hbo_bachelor,55240
2012,hbo_bachelor,51370
2013,hbo_bachelor,53400
2014,hbo_bachelor,57250
2015,hbo_bachelor,58920
2016,hbo_bachelor,62530
2017,hbo_bachelor,64190
2018,hbo_bachelor,62210
2019,hbo_bachelor,61690
2020,hbo_bachelor,64990
2021,hbo_bachelor,60450
2011,hbo_master,NA
2012,hbo_master,NA
2013,hbo_master,NA
2014,hbo_master,NA
2015,hbo_master,NA
2016,hbo_master,NA
2017,hbo_master,NA
2018,hbo_master,NA
2019,hbo_master,NA
2020,hbo_master,NA
2021,hbo_master,NA
2011,uni_bachelor,35070
2012,uni_bachelor,32620
2013,uni_bachelor,32440
2014,uni_bachelor,34430
2015,uni_bachelor,34070
2016,uni_bachelor,34800
2017,uni_bachelor,34840
2018,uni_bachelor,36180
2019,uni_bachelor,38030
2020,uni_bachelor,42810
2021,uni_bachelor,41440
2011,uni_master,34870
2012,uni_master,31250
2013,uni_master,33150
2014,uni_master,35260
2015,uni_master,36270
2016,uni_master,37370
2017,uni_master,38960
2018,uni_master,40860
2019,uni_master,41710
2020,uni_master,46810
2021,uni_master,46870
