date [mm-dd],city_lower,city_mean,city_upper
01-01,Eindhoven_0.20,Eindhoven_7.08,Eindhoven_13.96
01-01,Rotterdam_1.84,Rotterdam_7.56,Rotterdam_13.28
01-01,Vlieland_3.17,Vlieland_7.38,Vlieland_11.59
01-02,Eindhoven_3.04,Eindhoven_7.18,Eindhoven_11.32
01-02,Rotterdam_3.81,Rotterdam_7.35,Rotterdam_10.89
01-02,Vlieland_4.84,Vlieland_7.02,Vlieland_9.20
01-03,Eindhoven_3.88,Eindhoven_6.73,Eindhoven_9.59
01-03,Rotterdam_3.85,Rotterdam_6.85,Rotterdam_9.85
01-03,Vlieland_4.76,Vlieland_6.87,Vlieland_8.97
01-04,Eindhoven_2.99,Eindhoven_6.30,Eindhoven_9.61
01-04,Rotterdam_4.02,Rotterdam_7.07,Rotterdam_10.11
01-04,Vlieland_4.07,Vlieland_6.53,Vlieland_9.00
01-05,Eindhoven_3.26,Eindhoven_6.18,Eindhoven_9.11
01-05,Rotterdam_4.08,Rotterdam_6.82,Rotterdam_9.55
01-05,Vlieland_4.25,Vlieland_6.60,Vlieland_8.95
01-06,Eindhoven_1.74,Eindhoven_5.07,Eindhoven_8.40
01-06,Rotterdam_2.51,Rotterdam_5.57,Rotterdam_8.62
01-06,Vlieland_3.17,Vlieland_5.70,Vlieland_8.23
01-07,Eindhoven_0.78,Eindhoven_4.85,Eindhoven_8.92
01-07,Rotterdam_1.66,Rotterdam_5.40,Rotterdam_9.14
01-07,Vlieland_2.75,Vlieland_5.97,Vlieland_9.18
01-08,Eindhoven_-0.37,Eindhoven_4.58,Eindhoven_9.53
01-08,Rotterdam_0.45,Rotterdam_5.10,Rotterdam_9.75
01-08,Vlieland_1.93,Vlieland_5.38,Vlieland_8.84
01-09,Eindhoven_-2.16,Eindhoven_3.53,Eindhoven_9.23
01-09,Rotterdam_-1.09,Rotterdam_4.28,Rotterdam_9.66
01-09,Vlieland_2.02,Vlieland_5.53,Vlieland_9.05
01-10,Eindhoven_-2.55,Eindhoven_1.70,Eindhoven_5.95
01-10,Rotterdam_-0.65,Rotterdam_3.43,Rotterdam_7.51
01-10,Vlieland_1.93,Vlieland_4.92,Vlieland_7.91
01-11,Eindhoven_-0.72,Eindhoven_3.83,Eindhoven_8.39
01-11,Rotterdam_1.41,Rotterdam_5.28,Rotterdam_9.15
01-11,Vlieland_4.15,Vlieland_6.42,Vlieland_8.69
01-12,Eindhoven_2.14,Eindhoven_5.40,Eindhoven_8.66
01-12,Rotterdam_3.72,Rotterdam_6.58,Rotterdam_9.45
01-12,Vlieland_5.54,Vlieland_7.22,Vlieland_8.89
01-13,Eindhoven_2.05,Eindhoven_5.42,Eindhoven_8.78
01-13,Rotterdam_4.20,Rotterdam_6.58,Rotterdam_8.96
01-13,Vlieland_5.61,Vlieland_6.98,Vlieland_8.35
01-14,Eindhoven_0.62,Eindhoven_4.80,Eindhoven_8.98
01-14,Rotterdam_2.22,Rotterdam_5.65,Rotterdam_9.08
01-14,Vlieland_3.63,Vlieland_6.27,Vlieland_8.90
01-15,Eindhoven_-0.00,Eindhoven_3.92,Eindhoven_7.83
01-15,Rotterdam_1.38,Rotterdam_4.78,Rotterdam_8.19
01-15,Vlieland_2.54,Vlieland_5.40,Vlieland_8.26
01-16,Eindhoven_0.07,Eindhoven_3.42,Eindhoven_6.77
01-16,Rotterdam_1.62,Rotterdam_4.57,Rotterdam_7.52
01-16,Vlieland_2.43,Vlieland_4.98,Vlieland_7.54
01-17,Eindhoven_-0.88,Eindhoven_2.97,Eindhoven_6.81
01-17,Rotterdam_0.32,Rotterdam_3.73,Rotterdam_7.15
01-17,Vlieland_3.78,Vlieland_5.55,Vlieland_7.32
01-18,Eindhoven_-1.70,Eindhoven_1.57,Eindhoven_4.83
01-18,Rotterdam_0.03,Rotterdam_2.55,Rotterdam_5.07
01-18,Vlieland_3.88,Vlieland_5.12,Vlieland_6.35
01-19,Eindhoven_-1.24,Eindhoven_1.83,Eindhoven_4.91
01-19,Rotterdam_0.83,Rotterdam_3.68,Rotterdam_6.53
01-19,Vlieland_2.56,Vlieland_5.12,Vlieland_7.67
01-20,Eindhoven_-2.51,Eindhoven_1.75,Eindhoven_6.01
01-20,Rotterdam_-1.47,Rotterdam_2.72,Rotterdam_6.90
01-20,Vlieland_0.11,Vlieland_3.93,Vlieland_7.76
01-21,Eindhoven_-3.12,Eindhoven_1.40,Eindhoven_5.92
01-21,Rotterdam_-0.75,Rotterdam_2.58,Rotterdam_5.91
01-21,Vlieland_2.58,Vlieland_4.83,Vlieland_7.09
01-22,Eindhoven_-1.47,Eindhoven_2.95,Eindhoven_7.37
01-22,Rotterdam_0.51,Rotterdam_4.37,Rotterdam_8.23
01-22,Vlieland_2.08,Vlieland_5.18,Vlieland_8.29
01-23,Eindhoven_-0.12,Eindhoven_3.43,Eindhoven_6.99
01-23,Rotterdam_0.93,Rotterdam_4.22,Rotterdam_7.50
01-23,Vlieland_1.20,Vlieland_4.37,Vlieland_7.53
01-24,Eindhoven_-1.80,Eindhoven_2.65,Eindhoven_7.10
01-24,Rotterdam_-0.09,Rotterdam_3.57,Rotterdam_7.23
01-24,Vlieland_-0.11,Vlieland_3.67,Vlieland_7.44
01-25,Eindhoven_-0.61,Eindhoven_2.20,Eindhoven_5.01
01-25,Rotterdam_0.77,Rotterdam_3.08,Rotterdam_5.39
01-25,Vlieland_2.12,Vlieland_4.02,Vlieland_5.91
01-26,Eindhoven_2.86,Eindhoven_5.00,Eindhoven_7.14
01-26,Rotterdam_4.46,Rotterdam_5.93,Rotterdam_7.41
01-26,Vlieland_5.01,Vlieland_6.18,Vlieland_7.36
01-27,Eindhoven_2.92,Eindhoven_5.07,Eindhoven_7.21
01-27,Rotterdam_3.96,Rotterdam_5.82,Rotterdam_7.67
01-27,Vlieland_4.54,Vlieland_5.95,Vlieland_7.36
01-28,Eindhoven_1.89,Eindhoven_4.07,Eindhoven_6.25
01-28,Rotterdam_3.93,Rotterdam_5.22,Rotterdam_6.51
01-28,Vlieland_3.75,Vlieland_5.07,Vlieland_6.38
